district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009006,62,30.7996,15.3998,23.0131,2,186.9181,3.1571499999999997,0.6824499999999958,2.0,2,Type 2
1009006,63,20.7698,20.7698,20.7698,1,209.2085,0.0,0.0,1.0,0,Type 0
1009006,64,71.1115,23.703833333333336,32.2624,3,182.9164,18.90976666666667,19.540866666666666,3.0,4,Type 4
1009006,65,8.4436,8.4436,8.4436,1,178.8689,0.0,0.0,1.0,0,Type 0
1009006,66,9.1747,9.1747,9.1747,1,197.8048,0.0,0.0,1.0,0,Type 0
1009006,67,47.0573,15.685766666666666,25.7567,3,249.6938,12.026233333333332,12.2248,3.0,3,Type 3
1009006,68,22.777,11.3885,14.2821,2,81.1079,0.10524999999999984,6.608849999999997,2.0,2,Type 2
1009006,69,44.5927,11.148175,16.2719,4,144.3764,0.16889999999999983,-0.902350000000002,4.0,3,Type 3
1009006,70,6.3262,6.3262,6.3262,1,158.9279,0.0,0.0,1.0,0,Type 0
1009006,71,19.0996,9.5498,13.421,2,175.8138,5.7280999999999995,6.339850000000002,2.0,2,Type 2
1009006,72,82.6129,20.653225,45.2844,4,211.5162,7.32455,14.9286,4.0,4,Type 4
1009006,73,9.5414,9.5414,9.5414,1,201.8241,0.0,0.0,1.0,0,Type 0
1009006,74,7.3524,7.3524,7.3524,1,168.9531,0.0,0.0,1.0,0,Type 0
1009006,75,5.285,5.285,5.285,1,98.1625,0.0,0.0,1.0,0,Type 0
1009006,76,50.7025,16.900833333333335,22.2713,3,108.554,9.923666666666666,11.368899999999998,3.0,3,Type 3
1009006,77,14.9463,14.9463,14.9463,1,119.129,0.0,0.0,1.0,0,Type 0
1009006,78,5.836,5.836,5.836,1,132.4551,0.0,0.0,1.0,0,Type 0
1009006,79,162.3905,32.4781,70.2236,5,316.4202,27.70054,29.676319999999997,5.0,4,Type 4
1009006,80,26.8592,13.4296,18.22,2,154.9362,-15.977050000000002,3.026200000000003,2.0,2,Type 2
1009006,81,5.8122,5.8122,5.8122,1,150.1889,0.0,0.0,1.0,0,Type 0
1009006,82,5.4353,5.4353,5.4353,1,144.5146,0.0,0.0,1.0,0,Type 0
1009006,83,27.734,27.734,27.734,1,190.0274,0.0,0.0,1.0,0,Type 0
1009006,84,137.73940000000002,22.95656666666667,43.1431,6,321.2359,7.957166666666667,19.2905,6.0,4,Type 4
1009006,85,6.8235,6.8235,6.8235,1,163.7392,0.0,0.0,1.0,0,Type 0
1009006,86,18.7556,9.3778,13.0871,2,94.9371,1.8201999999999998,1.5271500000000007,2.0,2,Type 2
1009006,87,131.709,32.92725,63.5283,4,457.2566,13.271475,22.79785,4.0,4,Type 4
1009006,88,6.7895,6.7895,6.7895,1,156.8604,0.0,0.0,1.0,0,Type 0
1009006,89,5.1067,5.1067,5.1067,1,151.6413,0.0,0.0,1.0,0,Type 0
1009006,90,12.3906,12.3906,12.3906,1,165.9793,0.0,0.0,1.0,0,Type 0
1009006,91,126.6852,25.33704,37.9404,5,210.789,12.406320000000001,19.79356,5.0,4,Type 4
1009006,92,8.2451,8.2451,8.2451,1,183.2255,0.0,0.0,1.0,0,Type 0
1009006,93,50.8755,12.718875,21.0555,4,109.5995,8.303650000000001,8.68365,4.0,3,Type 3
1009006,94,13.9767,13.9767,13.9767,1,126.6227,0.0,0.0,1.0,0,Type 0
1009006,95,5.4824,5.4824,5.4824,1,146.2796,0.0,0.0,1.0,0,Type 0
1009006,96,7.3119,7.3119,7.3119,1,172.759,0.0,0.0,1.0,0,Type 0
1009006,97,156.7466,26.124433333333332,64.8008,6,276.8481,18.013616666666667,22.683666666666667,6.0,4,Type 4
1009006,98,10.8104,10.8104,10.8104,1,161.9561,0.0,0.0,1.0,0,Type 0
1009006,99,29.8652,9.955066666666667,13.158,3,248.3606,6.4834000000000005,6.834833333333333,3.0,3,Type 3
1009006,100,5.4878,5.4878,5.4878,1,151.9127,0.0,0.0,1.0,0,Type 0
1009006,101,181.2463,25.89232857142857,73.6297,7,330.7476,9.908,19.55778571428571,7.0,1,Type 1
1009006,102,6.1622,6.1622,6.1622,1,153.6897,0.0,0.0,1.0,0,Type 0
