district,event_index,Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6
1009006,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009006,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,27,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,35,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,37,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009006,38,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,41,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,46,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,47,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,48,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,50,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009006,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,54,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,58,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,61,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,62,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,67,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009006,72,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009006,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,76,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009006,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009006,79,0.0,0.0,0.0,0.0,1.0,0.0,0.0
